player,team,league,position,age,minutes,league_strength,progressive_carries_p90,progressive_passes_p90,crosses_p90,xA_p90,touches_att_3rd_p90,tackles_p90,interceptions_p90,miscontrols_p90,aerial_win_pct,clearances_p90,pass_completion_pct,errors_p90,npxG_p90,shots_p90,touches_box_p90,goals_p90,pressures_p90,tackles_interceptions_p90,market_value_eur,injury_days_last_2y
UTR Player 244,Utrecht,Eredivisie,CM,21,120,0.66,1.646,4.31,0.461,0.142,21.343,2.531,1.269,1.413,37.708,1.172,77.994,0.057,0.151,0.962,2.486,0.079,18.592,3.8,2268863,11
UTR Player 245,Utrecht,Eredivisie,RW,25,1379,0.66,6.374,3.218,2.478,0.225,39.681,0.923,0.829,3.485,36.078,0.534,89.766,0.046,0.337,3.113,5.459,0.222,16.051,1.752,15083580,26
UTR Player 246,Utrecht,Eredivisie,CB,23,1457,0.66,1.079,2.905,0.135,0.024,3.235,0.724,1.688,0.393,84.031,4.912,95.0,0.067,0.027,0.459,0.973,0.0,6.389,2.412,2658343,8
UTR Player 247,Utrecht,Eredivisie,AM,31,2910,0.66,1.897,3.088,0.599,0.092,15.757,1.467,0.987,1.461,43.684,1.122,22.187,0.098,0.133,0.617,1.919,0.0,21.715,2.454,1212046,16
UTR Player 248,Utrecht,Eredivisie,CM,20,1573,0.66,1.426,5.331,0.782,0.067,20.652,2.006,2.022,1.372,51.224,1.527,69.406,0.022,0.12,1.398,2.425,0.065,21.448,4.028,8301244,5
UTR Player 249,Utrecht,Eredivisie,CM,24,490,0.66,2.029,7.147,0.627,0.117,25.414,2.463,1.695,1.718,53.356,1.401,86.068,0.012,0.202,1.217,2.347,0.143,22.307,4.158,4984539,17
UTR Player 250,Utrecht,Eredivisie,RB,23,1556,0.66,3.035,6.594,2.681,0.116,19.252,1.429,1.076,1.397,59.891,2.194,78.532,0.052,0.106,0.373,1.507,0.118,14.976,2.505,4519592,40
GEN Player 251,Genk,Belgian Pro League,CM,25,2152,0.68,1.726,3.317,0.398,0.043,17.211,1.433,1.024,1.132,30.306,1.136,90.225,0.048,0.08,0.501,1.936,0.159,15.888,2.457,1764730,49
GEN Player 252,Genk,Belgian Pro League,DM,17,1916,0.68,2.866,5.604,0.819,0.126,27.993,2.414,2.223,1.478,57.568,2.312,95.0,0.0,0.102,1.164,2.662,0.186,22.735,4.637,23798469,0
GEN Player 253,Genk,Belgian Pro League,DM,28,2913,0.68,1.439,5.416,0.3,0.07,18.592,1.737,1.51,1.483,56.557,1.118,56.615,0.077,0.0,0.812,1.618,0.0,16.046,3.247,3232997,27
GEN Player 254,Genk,Belgian Pro League,RW,25,2485,0.68,3.977,1.856,1.392,0.092,32.869,0.598,0.763,2.257,33.982,0.425,85.816,0.009,0.277,2.29,4.28,0.191,16.345,1.361,4629376,8
GEN Player 255,Genk,Belgian Pro League,AM,30,1427,0.68,3.234,6.896,0.557,0.197,34.308,1.881,1.545,1.29,49.323,1.727,74.368,0.064,0.179,2.175,2.618,0.12,18.33,3.426,3786371,28
GEN Player 256,Genk,Belgian Pro League,RW,20,2023,0.68,3.944,3.568,2.313,0.065,22.564,0.755,0.507,1.275,32.779,0.429,93.175,0.065,0.129,1.373,4.417,0.168,10.688,1.262,1802107,8
GEN Player 257,Genk,Belgian Pro League,AM,22,1388,0.68,1.91,6.323,0.527,0.056,18.754,0.981,0.926,1.477,40.125,1.491,70.164,0.064,0.0,1.295,2.222,0.117,20.09,1.907,1096529,69
GEN Player 258,Genk,Belgian Pro League,CB,25,1418,0.68,1.127,4.903,0.182,0.11,5.365,1.762,2.221,0.365,88.812,5.249,95.0,0.067,0.086,0.547,1.625,0.108,6.239,3.983,6354923,25
GEN Player 259,Genk,Belgian Pro League,CM,25,1722,0.68,2.271,6.306,0.689,0.078,19.91,1.747,0.991,1.416,47.241,1.768,95.0,0.049,0.095,0.83,1.214,0.024,17.963,2.738,1254884,14
GEN Player 260,Genk,Belgian Pro League,RW,21,1328,0.68,5.491,3.065,2.386,0.211,31.598,0.842,0.845,2.47,34.577,0.599,92.285,0.012,0.31,2.724,7.272,0.262,23.946,1.687,20649706,38
GEN Player 261,Genk,Belgian Pro League,CM,22,1619,0.68,2.004,4.118,0.471,0.097,16.105,0.966,0.884,0.901,35.793,1.206,80.183,0.062,0.123,1.148,1.928,0.095,21.017,1.85,2527656,68
GEN Player 262,Genk,Belgian Pro League,AM,23,2299,0.68,2.336,7.648,0.573,0.131,26.716,2.025,1.228,1.714,63.573,1.679,91.456,0.024,0.245,0.889,2.593,0.138,18.458,3.253,7753656,14
GEN Player 263,Genk,Belgian Pro League,CB,27,1396,0.68,0.821,3.777,0.017,0.025,3.422,1.438,1.809,0.354,46.092,3.921,58.558,0.08,0.086,0.358,0.939,0.013,5.314,3.247,1193128,4
GEN Player 264,Genk,Belgian Pro League,CM,22,1655,0.68,2.043,5.079,0.731,0.124,16.569,1.903,1.577,1.812,57.943,1.551,77.004,0.031,0.107,0.933,2.606,0.118,18.786,3.48,5010844,27
GEN Player 265,Genk,Belgian Pro League,ST,23,1512,0.68,1.329,0.977,0.343,0.106,23.928,0.706,0.357,2.619,51.281,0.777,68.891,0.0,0.516,3.229,5.32,0.337,16.475,1.063,4006431,10
GEN Player 266,Genk,Belgian Pro League,CB,23,1255,0.68,0.77,3.214,0.047,0.0,3.957,1.176,1.615,0.237,45.029,2.839,60.567,0.048,0.004,0.323,0.558,0.023,3.724,2.791,1060344,11
GEN Player 267,Genk,Belgian Pro League,DM,22,1409,0.68,1.533,7.914,0.97,0.024,19.964,2.127,1.807,1.358,61.965,1.593,78.552,0.04,0.085,0.879,3.054,0.076,20.921,3.934,4779225,33
GEN Player 268,Genk,Belgian Pro League,ST,18,650,0.68,1.258,1.033,0.446,0.035,27.517,0.658,0.271,2.496,33.875,0.646,61.379,0.018,0.326,2.484,6.51,0.254,18.188,0.929,1342170,84
STA Player 269,Standard Liege,Belgian Pro League,CM,22,1326,0.61,2.792,6.938,0.609,0.131,16.915,1.616,1.214,1.311,55.012,0.857,90.212,0.054,0.101,0.898,2.376,0.001,25.046,2.83,4121265,47
STA Player 270,Standard Liege,Belgian Pro League,AM,19,1937,0.61,3.739,6.67,0.577,0.11,18.894,2.476,1.296,1.79,56.935,1.377,84.64,0.033,0.136,1.745,2.736,0.079,22.821,3.772,4525056,33
STA Player 271,Standard Liege,Belgian Pro League,ST,31,2555,0.61,1.44,1.778,0.553,0.102,21.55,0.74,0.329,3.503,39.666,0.726,95.0,0.006,0.332,3.703,5.427,0.348,12.028,1.069,7045465,57
STA Player 272,Standard Liege,Belgian Pro League,AM,30,1312,0.61,1.339,3.839,0.346,0.072,23.78,1.426,1.314,0.94,42.26,1.502,66.207,0.02,0.158,1.104,2.801,0.053,18.804,2.74,1483851,19
STA Player 273,Standard Liege,Belgian Pro League,ST,27,1296,0.61,1.329,1.788,0.331,0.11,23.117,0.467,0.309,2.565,44.096,0.61,60.54,0.038,0.417,3.574,3.683,0.17,13.469,0.776,1982837,17
STA Player 274,Standard Liege,Belgian Pro League,CM,19,1809,0.61,2.142,4.668,0.767,0.096,24.418,1.519,1.61,1.287,44.937,1.354,78.177,0.0,0.151,1.373,2.758,0.07,14.121,3.129,2713310,23
STA Player 275,Standard Liege,Belgian Pro League,RB,33,1860,0.61,2.071,5.886,2.535,0.088,19.709,1.499,1.234,0.994,54.725,1.956,95.0,0.027,0.0,0.46,1.235,0.0,12.986,2.733,1999191,2
STA Player 276,Standard Liege,Belgian Pro League,DM,22,1403,0.61,1.989,4.23,0.607,0.145,14.567,2.04,1.249,1.57,48.049,1.223,86.149,0.018,0.046,0.887,2.582,0.046,21.142,3.289,2364690,44
STA Player 277,Standard Liege,Belgian Pro League,DM,24,3063,0.61,1.914,6.306,0.902,0.054,16.329,2.221,1.667,1.312,39.111,1.953,65.664,0.055,0.118,0.968,1.612,0.08,17.561,3.888,5938129,1
STA Player 278,Standard Liege,Belgian Pro League,CB,25,2486,0.61,0.722,3.352,0.079,0.003,3.125,0.651,1.42,0.306,60.432,5.343,95.0,0.082,0.058,0.645,1.449,0.055,5.444,2.071,2576290,24
STA Player 279,Standard Liege,Belgian Pro League,LB,21,1425,0.61,2.974,3.03,2.021,0.088,13.994,1.711,0.563,1.676,42.066,1.518,78.187,0.048,0.017,0.138,1.244,0.0,14.446,2.274,457770,91
STA Player 280,Standard Liege,Belgian Pro League,RB,19,842,0.61,2.313,5.384,2.29,0.064,16.971,1.897,1.192,1.477,53.445,2.53,76.939,0.027,0.061,0.303,1.305,0.003,13.089,3.089,2505842,41
STA Player 281,Standard Liege,Belgian Pro League,CB,23,1435,0.61,0.634,2.981,0.041,0.0,2.773,1.345,1.569,0.199,52.349,3.826,89.745,0.08,0.0,0.562,1.192,0.0,3.865,2.914,1563688,25
STA Player 282,Standard Liege,Belgian Pro League,CM,22,1251,0.61,1.931,3.59,0.644,0.012,15.838,1.952,0.594,1.636,36.93,1.059,80.404,0.058,0.104,1.054,2.413,0.055,23.7,2.546,1983528,6
STA Player 283,Standard Liege,Belgian Pro League,LW,30,1567,0.61,4.058,3.507,2.153,0.255,36.452,1.052,0.417,2.442,42.33,0.586,95.0,0.02,0.304,1.41,5.479,0.178,15.118,1.469,4549146,59
STA Player 284,Standard Liege,Belgian Pro League,RW,28,2114,0.61,3.489,2.415,2.314,0.156,23.408,0.522,0.694,1.936,36.946,0.619,54.58,0.027,0.234,2.598,3.184,0.18,19.133,1.216,2556715,20
STA Player 285,Standard Liege,Belgian Pro League,RW,26,1914,0.61,4.429,3.123,1.839,0.071,25.776,0.737,0.392,1.782,21.01,0.502,68.652,0.047,0.188,2.069,3.537,0.098,11.648,1.129,1533519,27
STA Player 286,Standard Liege,Belgian Pro League,CM,22,1321,0.61,2.294,6.185,1.176,0.192,18.449,2.645,1.566,1.928,60.419,1.456,95.0,0.034,0.193,1.333,2.846,0.194,25.23,4.211,21308221,38
